名称,名称,説明,x4,x3,x2,x1,a
110,Hw_WS_A,送水温度特性（温）,0,0,0.00006041,0.01675165,0.12610815
52,Hw_boilerA,送水温度特性（温）,0,0,0,0,1
53,HEX,熱交換器,0,0,0,0,1
54,DHC,地域熱供給,0,0,0,1,0
990,DX_C1,能力比特性（冷）,0.0000000000 ,0.0000000000 ,0.0005110000 ,0.0192820000 ,0.1295290000 
991,DX_C2,入力比特性（冷）,0.0000000000 ,0.0000000000 ,-0.0003440000 ,0.0040450000 ,1.1294300000 
992,DX_C3,部分負荷特性（冷）,2.2490210000 ,-2.3419300000 ,1.1733280000 ,-0.0893730000 ,0.0140810000 
993,DX_H1,能力比特性（温）,0.0000000000 ,0.0000000000 ,-0.0002070000 ,-0.0118070000 ,0.9701760000 
994,DX_H2,入力比特性（温）,0.0000000000 ,0.0000000000 ,-0.0001980000 ,0.0141330000 ,1.0403160000 
995,DX_H3,部分負荷特性（温）,2.3822790000 ,-2.5513240000 ,1.2487210000 ,-0.1089590000 ,0.0122700000 
